Mun Nombre,Mun Id,coordenadas_colombia.latitud,coordenadas_colombia.longitud
ABEJORRAL,5002,,
ABREGO,54003,8,'-73.2
ABRIAQUI,5004,6.6666667,'-76.0833333
ACACIAS,50006,3.9166667,'-73.8333333
ACANDI,27006,8.3333333,'-77.1666667
ACEVEDO,41006,1.75,'-75.9166667
ACHI,13006,8.25,'-74.5
AGRADO,41013,2.3333333,'-75.75
AGUA DE DIOS,25001,4.4166667,'-74.6666667
AGUACHICA,20011,8.3333333,'-73.5833333
AGUADA,68013,6.25,'-73.4666667
AGUADAS,17013,5.6333333,'-75.4166667
AGUAZUL,85010,5.1730556,'-72.5547222
AGUSTIN CODAZZI,20013,9.9166667,'-73.25
AIPE,41016,3.25,'-75.3333333
ALBAN,25019,4.9166667,'-74.45
ALBAN,52019,1.4744444,'-77.0836111
ALBANIA,18029,1.3316667,'-75.8822222
ALBANIA,44035,11.1597222,'-72.5855556
ALBANIA,68020,5.8333333,'-73.75
ALCALA,76020,4.6666667,'-75.75
ALDANA,52022,0.9166667,'-77.6833333
ALEJANDRIA,5021,6.3666667,'-75.0833333
ALGARROBO,47030,10.1869444,'-74.5752778
ALGECIRAS,41020,2.5833333,'-75.25
ALMAGUER,19022,1.9166667,'-76.8333333
ALMEIDA,15022,4.9166667,'-73.3333333
ALPUJARRA,73024,3.4166667,'-74.9166667
ALTAMIRA,41026,2.1666667,'-75.8333333
ALTO BAUDO,27025,5.6666667,'-77.0
ALTOS DEL ROSARIO,13030,8.7944444,'-74.1658333
ALVARADO,73026,4.5833333,'-75.0
AMAGA,5030,6.05,'-75.7
AMALFI,5031,7,'-74.9166667
AMBALEMA,73030,4.8333333,'-74.8333333
ANAPOIMA,25035,4.6166667,'-74.55
ANCUYA,52036,1.25,'-77.5
ANDALUCIA,76036,4.1741667,'-76.1702778
ANDES,5034,5.5833333,'-75.9166667
ANGELOPOLIS,5036,6.1333333,'-75.7
ANGOSTURA,5038,6.8666667,'-75.3333333
ANOLAIMA,25040,4.8333333,'-74.5
ANORI,5040,7.1666667,'-75.0833333
ANSERMA,17042,5.25,'-75.75
ANSERMANUEVO,76041,4.7972222,'-75.995
ANZA,5044,6.3333333,'-75.9166667
ANZOATEGUI,73043,4.6666667,'-75.25
APARTADO,5045,7.8855556,'-76.6347222
APIA,66045,5.1666667,'-76.0
APULO,25599,4.5833333,'-74.5833333
AQUITANIA,15047,5.5197222,'-72.8875
ARACATACA,47053,10.5833333,'-74.0
ARANZAZU,17050,5.3,'-75.45
ARATOCA,68051,6.8333333,'-72.9666667
ARAUCA,81001,7.0902778,'-70.7616667
ARAUQUITA,81065,6.8219444,'-71.3236111
ARBELAEZ,25053,4.3,'-74.5833333
ARBOLEDA,52051,1.5033333,'-77.0877778
ARBOLEDAS,54051,7.6666667,'-72.75
ARBOLETES,5051,8.5,'-76.4166667
ARCABUCO,15051,5.8,'-73.3833333
ARENAL,13042,8.4666667,'-73.95
ARGELIA,19050,2.2666667,'-77.25
ARGELIA,5055,5.7341667,'-75.1463889
ARGELIA,76054,4.7,'-76.1333333
ARIGUANI,47058,10.25,'-74.0
ARJONA,13052,10.1666667,'-75.3333333
ARMENIA,5059,6.1666667,'-75.8333333
ARMENIA,63001,4.5338889,'-75.6811111
ARMERO,73055,5.0833333,'-74.8333333
ARROYOHONDO,13062,10.2497222,'-75.0113889
ASTREA,20032,9.5011111,'-73.9802778
ATACO,73067,3.3333333,'-75.6666667
ATRATO,27050,5.5333333,'-76.6333333
AYAPEL,23068,8.25,'-75.25
BAGADO,27073,5.5,'-76.25
BAHIA SOLANO,27075,6.2191667,'-77.4077778
BAJO BAUDO,27077,"5,0",'-77.0833333
BALBOA,19075,2.1,'-77.2
