Anio;Dep Id;Dep Nombre;Mun Id;Mun Nombre;VER ID;VER NOMBRE;Ubicacion;AGPRE NOMBRE;Cantidad Muestras;Promedio;Nivel de Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;91;AMAZONAS;91001;LETICIA;910010001;NO APLICA;URBANO;UNIDAD DE SERVICIOS PÚBLICOS DOMICILIARIOS DE LETICIA - MUNICIPIO DE LETICIA;119;12,6118;Riesgo Bajo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;91;AMAZONAS;91001;LETICIA;910010001;NO APLICA;URBANO;UNIDAD DE SERVICIOS PÚBLICOS DOMICILIARIOS DE LETICIA - MUNICIPIO DE LETICIA;108;14,5416;Riesgo Medio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;91;AMAZONAS;91540;PUERTO NARIÑO;915400001;NO APLICA;URBANO;MUNICIPIO DE PUERTO NARIÑO;20;41,8553;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;91;AMAZONAS;91540;PUERTO NARIÑO;915400001;NO APLICA;URBANO;MUNICIPIO DE PUERTO NARIÑO;14;49,3125;Riesgo Alto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05002;ABEJORRAL;050020000;SIN DATO;URBANO;EMPRESAS PÚBLICAS DE ABEJORRAL E.S.P.-ZONA URBANA SAN ANTONIO;35;0,9259;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;05;ANTIOQUIA;05002;ABEJORRAL;050020001;NO APLICA;URBANO;EMPRESAS PÚBLICAS DE ABEJORRAL E.S.P.-ZONA URBANA LA ANGOSTURA;35;0,0553;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05002;ABEJORRAL;05002044;MATA DE GUADUA;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL PANTATNILO ACUMUPAN-MATA DE GUADUA;1;97,3451;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05002;ABEJORRAL;05002010;CORINTO;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DE PANTANILLO ACUMUPAN- CORINTO;1;97,3451;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05002;ABEJORRAL;05002022;GUAYABAL;RURAL;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL PANTANILLO ACUMUPAN-GUAYABAL;1;97,3451;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05002;ABEJORRAL;05002041;LLANO GRANDE;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DE PANTANILLO ACUMUPAN- LLANO GRANDE;1;96,3855;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05002;ABEJORRAL;05002507;EL VESUBIO;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL PANTANILLO ACUMUPAN-EL VESUBIO;1;97,3451;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05002;ABEJORRAL;05002034;LA PERDIDA;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL DE PANTANILLO ACUMUPAN- LA PERDIDA;1;96,3855;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05002;ABEJORRAL;050020000;SIN DATO;URBANO;EMPRESAS PÚBLICAS DE ABEJORRAL E.S.P.-ZONA URBANA SAN ANTONIO;31;2,3725;Sin Riesgo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;05;ANTIOQUIA;05002;ABEJORRAL;05002055;SAN BARTOLO;RURAL;ASOCIACION DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL PANTANILLO ACUMUPAN-SAN BERNARDO;1;96,3855;Inviable Sanitariamente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
